,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,label
120,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
124,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
184,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
216,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1
220,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
232,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1
236,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
240,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
242,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
244,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1
248,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
249,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
250,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1
252,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
253,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
254,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
488,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
504,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
508,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
632,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1
634,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1
636,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1
696,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1
728,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1
744,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1
752,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1
760,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1
761,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1
762,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1
764,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1
765,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1
1016,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1
1020,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
1116,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1
1136,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1
1138,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1
1140,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1
1142,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1
1144,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1
