,0,1,label,0_left,1_left
15398,1,42,1,0,0
30849,2,94,1,1,92
30862,2,117,1,1,105
30881,2,140,1,1,124
30909,2,238,1,1,152
46374,3,227,1,2,219
46733,3,628,1,2,578
77385,5,460,1,4,434
1342,100000,1387,1,0,1386
3395,100000,3586,1,0,3567
3414,100000,3591,1,0,3587
3505,100000,3681,1,0,3678
3566,100000,3740,1,0,3739
3569,100000,3762,1,0,3742
3594,100000,3771,1,0,3767
3621,100000,3859,1,0,3794
3688,100000,3863,1,0,3861
3693,100000,3867,1,0,3866
3708,100000,3886,1,0,3881
3733,100000,3907,1,0,3906
3735,100000,4104,1,0,3908
3939,100000,4113,1,0,4112
3949,100000,4150,1,0,4122
3979,100000,4519,1,0,4152
