,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,label
512,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1726,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1
2048,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2560,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2561,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2562,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2564,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2576,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
2592,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
2624,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
2688,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
2816,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
3517,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1
3584,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
6009,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1
6656,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
8894,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1
9406,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1
9790,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1
9886,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1
9902,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1
9910,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1
9914,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1
9916,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1
9918,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1
9919,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1
9982,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1
10174,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1
10672,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1
10752,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
11264,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
11966,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1
12024,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1
14014,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1
16896,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
18653,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1
18864,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1
18944,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
20200,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1
21269,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1
25008,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1
26302,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1
26800,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1
27056,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1
27057,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1
